Name,Price,Condition,Category,Item no,EAN,Postage,Description,Image Url
"Edexcel AS/A-level history. Germany and West Germany, 1918-89 by Barbara",£6.68,Good,"Books, Comics & Magazines",293497601580,Paperback,Doesn't post to India | See details,"Item specifics
Condition: Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in good condition. With over 7 million ratings, you can buy from us with confidence. Good Condition: A book that has been read, but is in good condition. Minimal damage to the book cover eg. scuff marks, but no holes or tears. If this is a hard cover, the dust jacket may be missing. Binding has minimal wear. The majority of pages are undamaged with some creasing or tearing, and pencil underlining of text, but this is minimal. No highlighting of text, no writing in the margins, and no missing pages. Don’t worry, it’s still perfectly readable and our expert team have made sure there is no major damage – you’re getting a great book for a great price!”
Format: Paperback Language: English
ISBN: 9781471876493 EAN: 9781471876493",https://i.ebayimg.com/images/g/yUYAAOSwAQpfTYCf/s-l300.jpg
South Eastern & Chatham Railway album by P. K Jones Expertly Refurbished Product,£3.27,Good,"Books, Comics & Magazines",293584629885,English,Doesn't post to India | See details,"Item specifics
Condition: Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in good condition. With over 7 million ratings, you can buy from us with confidence. Good Condition: A book that has been read, but is in good condition. Minimal damage to the book cover eg. scuff marks, but no holes or tears. If this is a hard cover, the dust jacket may be missing. Binding has minimal wear. The majority of pages are undamaged with some creasing or tearing, and pencil underlining of text, but this is minimal. No highlighting of text, no writing in the margins, and no missing pages. Don’t worry, it’s still perfectly readable and our expert team have made sure there is no major damage – you’re getting a great book for a great price!”
Language: English ISBN: 9780711013452
EAN: 9780711013452",https://i.ebayimg.com/images/g/omEAAOSwMWhfRSwP/s-l500.jpg
Watercolours and drawings from the collection of Queen Elizabeth the Queen,£3.19,Good,"Books, Comics & Magazines",303516100277,Paperback,Doesn't post to India | See details,"Item specifics
Condition: Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in good condition. With over 7 million ratings, you can buy from us with confidence. Good Condition: A book that has been read, but is in good condition. Minimal damage to the book cover eg. scuff marks, but no holes or tears. If this is a hard cover, the dust jacket may be missing. Binding has minimal wear. The majority of pages are undamaged with some creasing or tearing, and pencil underlining of text, but this is minimal. No highlighting of text, no writing in the margins, and no missing pages. Don’t worry, it’s still perfectly readable and our expert team have made sure there is no major damage – you’re getting a great book for a great price!”
Format: Paperback Language: English
ISBN: 9781902163789 EAN: 9781902163789",https://i.ebayimg.com/images/g/1R4AAOSwxYNfS1ZZ/s-l500.jpg
The Discworld series: Carpe jugulum by Terry Pratchett (Paperback) Amazing Value,£4.99,Good,"Books, Comics & Magazines",293566021594,Paperback,Doesn't post to India | See details,"Item specifics
Condition: Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in good condition. With over 7 million ratings, you can buy from us with confidence. Good Condition: A book that has been read, but is in good condition. Minimal damage to the book cover eg. scuff marks, but no holes or tears. If this is a hard cover, the dust jacket may be missing. Binding has minimal wear. The majority of pages are undamaged with some creasing or tearing, and pencil underlining of text, but this is minimal. No highlighting of text, no writing in the margins, and no missing pages. Don’t worry, it’s still perfectly readable and our expert team have made sure there is no major damage – you’re getting a great book for a great price!”
Format: Paperback Language: English
Author: Terry Pratchett ISBN: 9780552154208
EAN: 9780552154208",https://i.ebayimg.com/images/g/yssAAOSw3NBfQ7I0/s-l500.jpg
The Bridge On the River Kwai/Das Boot/The Guns of Navarone DVD (2006) Alec,£4.01,Very Good,"DVDs, Films & TV",301842143931,DVD,Doesn't post to India | See details,"Item specifics
Condition: Very Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in great condition. With over 7 million ratings, you can buy from us with confidence. Very Good Condition: An item that has been used, but is in very good condition. No damage to the jewel case or item cover, no scratches, cracks, or holes. The cover art and liner notes are included. The box/case is included. Minimal wear on the exterior of item. No skipping on the CD or DVD, when played. Please presume that any reference to a digital copy/UV copy will not be applicable, as these are used items.”
Format: DVD Language: German, English
Release Year: 2006 Genre: Feature
Leading Role: Gregory Peck Sub-Genre: War
Rating: 15 Edition: Box Set
EAN: 5050582458534",https://i.ebayimg.com/images/g/c3IAAOSwACRfPmfo/s-l500.jpg
Rio/Rio 2 DVD (2014) Carlos Saldanha cert U 2 discs Expertly Refurbished Product,£3.88,Very Good,"DVDs, Films & TV",381522751089,Children,Doesn't post to India | See details,"Item specifics
Condition: Very Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in great condition. With over 7 million ratings, you can buy from us with confidence. Very Good Condition: An item that has been used, but is in very good condition. No damage to the jewel case or item cover, no scratches, cracks, or holes. The cover art and liner notes are included. The box/case is included. Minimal wear on the exterior of item. No skipping on the CD or DVD, when played. Please presume that any reference to a digital copy/UV copy will not be applicable, as these are used items.”
Genre: Children Leading Role: Carlos Saldanha
Sub-Genre: Animated Feature Region Code: Region 2
Publisher: WDHE Edition: Normal, 2 disc(s)
Rating: U EAN: 5039036069618",https://i.ebayimg.com/images/g/el0AAOSwTStfXcIC/s-l500.jpg
Death Via Satellite CD (2005) Value Guaranteed from eBay’s biggest seller!,£5.54,Very Good,Music,383630826477,Rock/Pop,Doesn't post to India | See details,"Item specifics
Condition: Very Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in great condition. With over 7 million ratings, you can buy from us with confidence. Very Good Condition: An item that has been used, but is in very good condition. No damage to the jewel case or item cover, no scratches, cracks, or holes. The cover art and liner notes are included. The box/case is included. Minimal wear on the exterior of item. No skipping on the CD or DVD, when played. Please presume that any reference to a digital copy/UV copy will not be applicable, as these are used items.”
Genre: Rock/Pop Record Label: Proper Music Distribution
Style: Rock/Pop Release Year: 2005
Duration: 25 Mins Contributor: The Start (Performer), Brian Virtue (Producer), Chuck Bailey (Producer)
UPC: 0794171585526 EAN: 0794171585526",https://i.ebayimg.com/images/g/XvUAAOSw6BZfPm8A/s-l500.jpg
Dick Gaughan : Redwood Cathedral CD (1998) Highly Rated eBay Seller Great Prices,£4.63,Very Good,Music,303098736580,Folk,Doesn't post to India | See details,"Item specifics
Condition: Very Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in great condition. With over 7 million ratings, you can buy from us with confidence. Very Good Condition: An item that has been used, but is in very good condition. No damage to the jewel case or item cover, no scratches, cracks, or holes. The cover art and liner notes are included. The box/case is included. Minimal wear on the exterior of item. No skipping on the CD or DVD, when played. Please presume that any reference to a digital copy/UV copy will not be applicable, as these are used items.”
Genre: Folk Record Label: Proper Music Distribution
Style: Folk Release Year: 1998
Duration: 61 Mins Contributor: Roy Ashby (Engineer), Dick Gaughan (Producer), Dick Gaughan (Artist)
Special Attributes: Album EAN: 5018081015825",https://i.ebayimg.com/images/g/eogAAOSwiWZfPXdw/s-l500.jpg
"Sash! : Best of-Encore une fois (2000, 15 tracks CD Expertly Refurbished Product",£2.34,Very Good,Music,303589758408,4029758214824,Doesn't post to India | See details,"Item specifics
Condition: Very Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in great condition. With over 7 million ratings, you can buy from us with confidence. Very Good Condition: An item that has been used, but is in very good condition. No damage to the jewel case or item cover, no scratches, cracks, or holes. The cover art and liner notes are included. The box/case is included. Minimal wear on the exterior of item. No skipping on the CD or DVD, when played. Please presume that any reference to a digital copy/UV copy will not be applicable, as these are used items.”
EAN: 4029758214824",https://i.ebayimg.com/images/g/cs0AAOSwlnhfPzdJ/s-l500.jpg
"Various Artists : Future Bass 2014 CD 2 discs (2014) FREE Shipping, Save £s",£4.59,Very Good,Music,303623920885,Dance,Doesn't post to India | See details,"Item specifics
Condition: Very Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in great condition. With over 7 million ratings, you can buy from us with confidence. Very Good Condition: An item that has been used, but is in very good condition. No damage to the jewel case or item cover, no scratches, cracks, or holes. The cover art and liner notes are included. The box/case is included. Minimal wear on the exterior of item. No skipping on the CD or DVD, when played. Please presume that any reference to a digital copy/UV copy will not be applicable, as these are used items.”
Genre: Dance Record Label: Ministry of Sound
Style: Dance Release Year: 2014
Duration: CD / Album Contributor: Various Artists (Artist)
EAN: 5051275066128",https://i.ebayimg.com/images/g/eywAAOSwvyxfQmrz/s-l500.jpg
Ffh : Way We Worship CD Value Guaranteed from eBay’s biggest seller!,£3.31,Very Good,Music,383633889951,0083061096526,Doesn't post to India | See details,"Item specifics
Condition: Very Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in great condition. With over 7 million ratings, you can buy from us with confidence. Very Good Condition: An item that has been used, but is in very good condition. No damage to the jewel case or item cover, no scratches, cracks, or holes. The cover art and liner notes are included. The box/case is included. Minimal wear on the exterior of item. No skipping on the CD or DVD, when played. Please presume that any reference to a digital copy/UV copy will not be applicable, as these are used items.”
EAN: 0083061096526",https://i.ebayimg.com/images/g/DnwAAOSwAf5fR0Xu/s-l500.jpg
Murray McLachlan : Piano Music CD Value Guaranteed from eBay’s biggest seller!,£2.32,Very Good,Music,293706427210,5055031311842,Doesn't post to India | See details,"Item specifics
Condition: Very Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in great condition. With over 7 million ratings, you can buy from us with confidence. Very Good Condition: An item that has been used, but is in very good condition. No damage to the jewel case or item cover, no scratches, cracks, or holes. The cover art and liner notes are included. The box/case is included. Minimal wear on the exterior of item. No skipping on the CD or DVD, when played. Please presume that any reference to a digital copy/UV copy will not be applicable, as these are used items.”
EAN: 5055031311842",https://i.ebayimg.com/images/g/QmUAAOSwofVfRv0e/s-l500.jpg
"Berliner Philarmoniker : The Christmas Album Vol. 2 CD FREE Shipping, Save £s",£4.24,Very Good,Music,303565180823,0028948282760,Doesn't post to India | See details,"Item specifics
Condition: Very Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in great condition. With over 7 million ratings, you can buy from us with confidence. Very Good Condition: An item that has been used, but is in very good condition. No damage to the jewel case or item cover, no scratches, cracks, or holes. The cover art and liner notes are included. The box/case is included. Minimal wear on the exterior of item. No skipping on the CD or DVD, when played. Please presume that any reference to a digital copy/UV copy will not be applicable, as these are used items.”
EAN: 0028948282760",https://i.ebayimg.com/images/g/aOYAAOSw6atfPXHb/s-l500.jpg
The etymologicon: a circular stroll through the hidden connections of the,£3.67,Good,"Books, Comics & Magazines",383378956758,Paperback,Doesn't post to India | See details,"Item specifics
Condition: Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in good condition. With over 7 million ratings, you can buy from us with confidence. Good Condition: A book that has been read, but is in good condition. Minimal damage to the book cover eg. scuff marks, but no holes or tears. If this is a hard cover, the dust jacket may be missing. Binding has minimal wear. The majority of pages are undamaged with some creasing or tearing, and pencil underlining of text, but this is minimal. No highlighting of text, no writing in the margins, and no missing pages. Don’t worry, it’s still perfectly readable and our expert team have made sure there is no major damage – you’re getting a great book for a great price!”
Format: Paperback Language: English
ISBN: 9781785781704 EAN: 9781785781704",https://i.ebayimg.com/images/g/66AAAOSwm~BfRVPQ/s-l500.jpg
"Disrupters, The : Generation Retard CD Highly Rated eBay Seller Great Prices",£3.98,Very Good,Music,303587290533,0689492102920,Doesn't post to India | See details,"Item specifics
Condition: Very Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in great condition. With over 7 million ratings, you can buy from us with confidence. Very Good Condition: An item that has been used, but is in very good condition. No damage to the jewel case or item cover, no scratches, cracks, or holes. The cover art and liner notes are included. The box/case is included. Minimal wear on the exterior of item. No skipping on the CD or DVD, when played. Please presume that any reference to a digital copy/UV copy will not be applicable, as these are used items.”
UPC: 0689492102920 EAN: 0689492102920",https://i.ebayimg.com/images/g/-VIAAAzyWiRSwmIT/s-l500.jpg
"Disrupters, The : Generation Retard CD Highly Rated eBay Seller Great Prices",£3.98,Very Good,Music,303587290533,0689492102920,Doesn't post to India | See details,"Item specifics
Condition: Very Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in great condition. With over 7 million ratings, you can buy from us with confidence. Very Good Condition: An item that has been used, but is in very good condition. No damage to the jewel case or item cover, no scratches, cracks, or holes. The cover art and liner notes are included. The box/case is included. Minimal wear on the exterior of item. No skipping on the CD or DVD, when played. Please presume that any reference to a digital copy/UV copy will not be applicable, as these are used items.”
UPC: 0689492102920 EAN: 0689492102920",https://i.ebayimg.com/images/g/-VIAAAzyWiRSwmIT/s-l500.jpg
"Blitzkrieg: myth, reality, and Hitler's lightning war-- France, 1940 by Lloyd",£3.94,Good,"Books, Comics & Magazines",383430083433,History & Military,Doesn't post to India | See details,"Item specifics
Condition: Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in good condition. With over 7 million ratings, you can buy from us with confidence. Good Condition: A book that has been read, but is in good condition. Minimal damage to the book cover eg. scuff marks, but no holes or tears. If this is a hard cover, the dust jacket may be missing. Binding has minimal wear. The majority of pages are undamaged with some creasing or tearing, and pencil underlining of text, but this is minimal. No highlighting of text, no writing in the margins, and no missing pages. Don’t worry, it’s still perfectly readable and our expert team have made sure there is no major damage – you’re getting a great book for a great price!”
Subjects: History & Military Language: English
Format: Hardback ISBN: 9780802125132
EAN: 9780802125132",https://i.ebayimg.com/images/g/M~wAAOSwXS5fWXp3/s-l500.jpg
Lightnin Hopkins Masters CD Value Guaranteed from eBay’s biggest seller!,£4.22,Very Good,Music,301811996020,5034504408128,Doesn't post to India | See details,"Item specifics
Condition: Very Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in great condition. With over 7 million ratings, you can buy from us with confidence. Very Good Condition: An item that has been used, but is in very good condition. No damage to the jewel case or item cover, no scratches, cracks, or holes. The cover art and liner notes are included. The box/case is included. Minimal wear on the exterior of item. No skipping on the CD or DVD, when played. Please presume that any reference to a digital copy/UV copy will not be applicable, as these are used items.”
EAN: 5034504408128",https://i.ebayimg.com/images/g/858AAOSw7ixfQL9j/s-l500.jpg
The Bee Gees : Ever Increasing Circles CD (1993) Expertly Refurbished Product,£2.40,Very Good,Music,293483858385,Bee Gees,Doesn't post to India | See details,"Item specifics
Condition: Very Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in great condition. With over 7 million ratings, you can buy from us with confidence. Very Good Condition: An item that has been used, but is in very good condition. No damage to the jewel case or item cover, no scratches, cracks, or holes. The cover art and liner notes are included. The box/case is included. Minimal wear on the exterior of item. No skipping on the CD or DVD, when played. Please presume that any reference to a digital copy/UV copy will not be applicable, as these are used items.”
Artist: Bee Gees Special Attributes: Album
Genre: Rock/Pop Release Year: 1993
Style: Rock/Pop Contributor: The Bee Gees (Artist)
Duration: 29 Mins EAN: 5099882303229",https://i.ebayimg.com/images/g/wg0AAOSwqDJfPq2d/s-l500.jpg
"La Fabulosa Guitarra De... [european Import] CD (1999) FREE Shipping, Save £s",£4.41,Very Good,Music,383204768691,Import,Doesn't post to India | See details,"Item specifics
Condition: Very Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in great condition. With over 7 million ratings, you can buy from us with confidence. Very Good Condition: An item that has been used, but is in very good condition. No damage to the jewel case or item cover, no scratches, cracks, or holes. The cover art and liner notes are included. The box/case is included. Minimal wear on the exterior of item. No skipping on the CD or DVD, when played. Please presume that any reference to a digital copy/UV copy will not be applicable, as these are used items.”
Genre: Import Record Label: Plastic Head
Style: Import Release Year: 1999
Duration: 35 Mins UPC: 0042284295420
EAN: 0042284295420",https://i.ebayimg.com/images/g/6~kAAOSwqY5fP4W0/s-l500.jpg
Orphans of the storm by Katie Flynn (Hardback) Expertly Refurbished Product,£3.48,Good,"Books, Comics & Magazines",293687961503,Hardback,Doesn't post to India | See details,"Item specifics
Condition: Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in good condition. With over 7 million ratings, you can buy from us with confidence. Good Condition: A book that has been read, but is in good condition. Minimal damage to the book cover eg. scuff marks, but no holes or tears. If this is a hard cover, the dust jacket may be missing. Binding has minimal wear. The majority of pages are undamaged with some creasing or tearing, and pencil underlining of text, but this is minimal. No highlighting of text, no writing in the margins, and no missing pages. Don’t worry, it’s still perfectly readable and our expert team have made sure there is no major damage – you’re getting a great book for a great price!”
Format: Hardback Language: English
Publisher: Cornerstone ISBN: 9780434013982
EAN: 9780434013982",https://i.ebayimg.com/images/g/~6AAAOSw83FfTTIY/s-l500.jpg
Dizzy Gillespie : Diz and Getz CD (2001) Highly Rated eBay Seller Great Prices,£4.45,Very Good,Music,303468813090,Dizzy Gillespie,Doesn't post to India | See details,"Item specifics
Condition: Very Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in great condition. With over 7 million ratings, you can buy from us with confidence. Very Good Condition: An item that has been used, but is in very good condition. No damage to the jewel case or item cover, no scratches, cracks, or holes. The cover art and liner notes are included. The box/case is included. Minimal wear on the exterior of item. No skipping on the CD or DVD, when played. Please presume that any reference to a digital copy/UV copy will not be applicable, as these are used items.”
Artist: Dizzy Gillespie Special Attributes: Album
Genre: Jazz Record Label: Universal Music
Style: Jazz Release Year: 2001
Duration: 48 Mins Contributor: Norman Granz (Producer), Dizzy Gillespie (Artist), Stan Getz (Artist)
UPC: 0731454974929 EAN: 0731454974929",https://i.ebayimg.com/images/g/q1kAAOSwksRfPv7y/s-l500.jpg
American Bandstand CD (2005) Value Guaranteed from eBay’s biggest seller!,£14.99,Very Good,Music,383515832999,General,Doesn't post to India | See details,"Item specifics
Condition: Very Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in great condition. With over 7 million ratings, you can buy from us with confidence. Very Good Condition: An item that has been used, but is in very good condition. No damage to the jewel case or item cover, no scratches, cracks, or holes. The cover art and liner notes are included. The box/case is included. Minimal wear on the exterior of item. No skipping on the CD or DVD, when played. Please presume that any reference to a digital copy/UV copy will not be applicable, as these are used items.”
Genre: General Special Attributes: Album
Style: General Record Label: Plastic Head/Universal Music
Duration: 54 Mins Release Year: 2005
UPC: 0774355152829 EAN: 0774355152829",https://i.ebayimg.com/images/g/wzwAAOSwbyFfP~rv/s-l500.jpg
"No off switch by Andy Kershaw (Paperback / softback) FREE Shipping, Save £s",£4.33,Good,"Books, Comics & Magazines",383511418346,Paperback,Doesn't post to India | See details,"Item specifics
Condition: Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in good condition. With over 7 million ratings, you can buy from us with confidence. Good Condition: A book that has been read, but is in good condition. Minimal damage to the book cover eg. scuff marks, but no holes or tears. If this is a hard cover, the dust jacket may be missing. Binding has minimal wear. The majority of pages are undamaged with some creasing or tearing, and pencil underlining of text, but this is minimal. No highlighting of text, no writing in the margins, and no missing pages. Don’t worry, it’s still perfectly readable and our expert team have made sure there is no major damage – you’re getting a great book for a great price!”
Format: Paperback Language: English
ISBN: 9780992769604 EAN: 9780992769604",https://i.ebayimg.com/images/g/gdQAAOSw8PpfUIVW/s-l500.jpg
Something Special: Laugh With Mr Tumble DVD (2017) Justin Fletcher cert U,£3.48,Very Good,"DVDs, Films & TV",292654387120,Children,Doesn't post to India | See details,"Item specifics
Condition: Very Good :
Seller notes: “This product has passed our meticulous quality checks and is guaranteed to be in great condition. With over 7 million ratings, you can buy from us with confidence. Very Good Condition: An item that has been used, but is in very good condition. No damage to the jewel case or item cover, no scratches, cracks, or holes. The cover art and liner notes are included. The box/case is included. Minimal wear on the exterior of item. No skipping on the CD or DVD, when played. Please presume that any reference to a digital copy/UV copy will not be applicable, as these are used items.”
Genre: Children Leading Role: Justin Fletcher
Sub-Genre: Television Region Code: Region 2, 4
Rating: U Edition: 1 disc(s)
EAN: 5051561042195",https://i.ebayimg.com/images/g/3TsAAOSwKnlfRnFC/s-l500.jpg
